ISO,COUNTRY,CURRENCY CODE
DZA,Algeria,DZD
AGO,Angola,AOA
BDI,Burundi,BIF
BEN,Benin,XOF
BFA,Burkina Faso,XOF
BWA,Botswana,BWP
CIV,Côte d'Ivoire,XOF
CMR,Cameroon,XAF
COD,Democratic Republic of Congo,CDF
COM,Comoros,KMF
CPV,Cape Verde,CVE
EGY,Egypt,EGP
ETH,Ethiopia,ETB
GAB,Gabon*,XAF
GHA,Ghana,GHS
GIN,Guinea,GNF
GMB,Gambia,GMD
KEN,Kenya,KES
LBR,Liberia,LRD
LSO,Lesotho,LSL
MDG,Madagascar,MGA
MLI,Mali,XOF
MAR,Morocco,MAD
MOZ,Mozambique,MZN
MUS,Mauritius,MUR
MWI,Malawi,MWK
NAM,Namibia,NAD
NER,Niger,XOF
NGA,Nigeria,NGN
RWA,Rwanda,RWF
SEN,Senegal,XOF
SLE,Sierra Leone,SLL
SDN,Sudan,SDG
SWZ,Eswatini,SZL
TCD,Chad,XAF
TGO,Togo,XOF
TZA,Tanzania,TZS
TUN,Tunisia,TND
UGA,Uganda,UGX
ZAF,South Africa,ZAR
ZMB,Zambia,ZMW
ZWE,Zimbabwe,ZWL
