country,currency,GENERAL SCORE,GENERAL RANKING,INCOME GENDER GAP SCORE,RANKING (INCOME GENDER GAP),GENDER,$ ANNUAL AVERAGE SALARY,$ MONTHLY AVERAGE SALARY,ANNUAL AVERAGE SALARY LOCAL CURRENCY,MONTHLY AVERAGE SALARY LOCAL CURRRENCY,EXCHANGE RATE VS USD,For every $ (or local currency) you earn the other sex earns,$ SALARY PER DAY (240 DAYS A YEAR),LOCAL CURRENCY SALARY PER DAYS (240 DAYS A YEAR),HOW MANY DAYS DIFFERENCE ,VARIATION, $ SALARY PER HOUR (8 HOURS A DAY),LOCAL CURRENCY SALARY PER HOURS (8 HOURS A DAY),HOW MANY HOURS DIFFERENCE (a year),HOW MANY HOURS DIFFERENCE A MONTH,LESS OR MORE,"In theory, you would need to work XX hours more or less daily"
Angola,AOA,0.643,117,0.594,74,FEMALE,5188.4,432.370,860013.62,71667.80167,165.7558571,1.683839154,21.61848242,3583.390083,164.1213971,MORE,2.702310303,447.9237604,1312.971176,109.4142647,MORE,5.470713235
Benin,CFA,0.636,127,0.728,20,FEMALE,1710.7,142.555,1060027.98,88335.665,619.6616155,1.374516678,7.127734137,4416.78325,89.8840028,MORE,0.8909667671,552.0979063,719.0720224,59.92266854,MORE,2.996133427
Botswana,BWP,0.715,54,0.886,4,FEMALE,15129.6,1260.803,156977.16,13081.43,10.37547264,1.128271324,63.04016434,654.0715,30.78511783,MORE,7.880020542,81.7589375,246.2809427,20.52341189,MORE,1.026170594
Burkina Faso,CFA,0.640,123,0.652,49,FEMALE,1280.0,106.666,793146.56,66095.54667,619.6504614,1.534603168,5.333292782,3304.777333,128.3047604,MORE,0.6666615978,413.0971667,1026.438083,85.53650691,MORE,4.276825345
Burundi,BIF,0.768,12,0.783,12,FEMALE,677.0,56.419,1150683.36,95890.28,1699.624543,1.277558249,2.820925374,4794.514,66.61397969,MORE,0.3526156717,599.31425,532.9118375,44.40931979,MORE,2.22046599
Cameroon,XAF,0.684,85,0.663,43,FEMALE,2369.8,197.483,1468436.5,122369.7083,619.6473289,1.508414874,9.874141518,6118.485417,122.0195697,MORE,1.23426769,764.8106771,976.1565574,81.34637979,MORE,4.067318989
Cape Verde,CVE,0.729,36,0.485,106,FEMALE,4278.3,356.525,448365.84,37363.82,104.8000459,2.061690397,17.82624218,1868.191,254.8056952,MORE,2.228280273,233.523875,2038.445562,169.8704635,MORE,8.493523173
Chad,XAF,0.587,140,0.614,63,FEMALE,1659.0,138.253,1027992.3,85666.025,619.6321147,1.629703045,6.912652118,4283.30125,151.1287309,MORE,0.8640815147,535.4126563,1209.029847,100.7524873,MORE,5.037624364
Côte d'Ivoire,XOF,0.597,136,0.480,110,FEMALE,2101.9,175.154,1302433.4,108536.1167,619.6604706,2.081727992,8.757708602,5426.805833,259.6147181,MORE,1.094713575,678.3507292,2076.917745,173.0764787,MORE,8.653823937
Ethiopia,ETB,0.662,109,0.604,67,FEMALE,1130.0,94.166,25603.8,2133.65,22.65828136,1.655604925,4.70832268,106.6825,157.3451821,MORE,0.588540335,13.3353125,1258.761457,104.8967881,MORE,5.244839403
